,0
CSX.2,0
CTAS.2,0
CTLT.2,0
CTRA.2,0
CTSH.2,0
CTVA.2,0
CVS.2,0
CVX.2,1
CZR.2,0
D.2,0
DAL.2,0
DD.2,0
DE.2,0
DFS.2,0
DG.2,0
DGX.2,0
DHI.2,0
DHR.2,0
DIS.2,0
DLR.2,0
DLTR.2,0
DOV.2,0
DOW.2,0
DPZ.2,0
DRI.2,0
DTE.2,0
DUK.2,0
DVA.2,0
DVN.2,0
DXCM.2,1
EA.2,0
EBAY.2,1
ECL.2,0
ED.2,0
EFX.2,0
EG.2,0
EIX.2,2
EL.2,0
ELV.2,0
EMN.2,0
EMR.2,0
ENPH.2,0
EOG.2,0
EPAM.2,0
EQIX.2,0
EQR.2,0
EQT.2,0
ES.2,0
ESS.2,0
ETN.2,0
ETR.2,0
ETSY.2,0
EVRG.2,0
EW.2,0
EXC.2,1
EXPD.2,0
EXPE.2,0
EXR.2,0
F.2,0
FANG.2,0
FAST.2,0
FCX.2,0
FDS.2,0
FDX.2,0
FE.2,0
FFIV.2,0
FI.2,0
FICO.2,0
FIS.2,0
FITB.2,0
FLT.2,0
FMC.2,0
FOX.2,0
FOXA.2,0
FRT.2,0
FSLR.2,0
FTNT.2,0
FTV.2,0
GD.2,0
GE.2,0
GEHC.2,0
GEN.2,0
GILD.2,0
GIS.2,0
GL.2,0
GLW.2,0
GM.2,0
GNRC.2,0
GOOG.2,0
GOOGL.2,0
GPC.2,0
GPN.2,0
GRMN.2,0
GS.2,0
GWW.2,0
HAL.2,0
HAS.2,0
HBAN.2,0
HCA.2,0
HD.2,0
HES.2,0
HIG.2,0
HII.2,0
HLT.2,0
HOLX.2,0
HON.2,0
HPE.2,0
HPQ.2,0
HRL.2,1
HSIC.2,0
HST.2,0
HSY.2,0
HUM.2,0
HWM.2,0
IBM.2,0
ICE.2,0
IDXX.2,0
IEX.2,0
IFF.2,0
ILMN.2,0
INCY.2,0
INTC.2,0
INTU.2,0
INVH.2,0
IP.2,0
IPG.2,0
IQV.2,0
IR.2,0
IRM.2,0
ISRG.2,0
IT.2,0
ITW.2,0
IVZ.2,0
J.2,0
JBHT.2,0
JCI.2,0
JKHY.2,0
JNJ.2,0
JNPR.2,0
JPM.2,0
K.2,3
KDP.2,1
KEY.2,0
KEYS.2,0
KHC.2,0
KIM.2,0
KLAC.2,0
KMB.2,0
KMI.2,0
KMX.2,0
KO.2,4
KR.2,0
KVUE.2,0
L.2,0
LDOS.2,0
LEN.2,0
LH.2,0
LHX.2,0
LIN.2,0
LKQ.2,0
LLY.2,0
LMT.2,0
LNT.2,1
LOW.2,0
LRCX.2,0
LUV.2,0
LVS.2,0
LW.2,0
LYB.2,0
LYV.2,0
MA.2,0
MAA.2,0
MAR.2,0
MAS.2,0
MCD.2,0
MCHP.2,0
MCK.2,0
MCO.2,0
MDLZ.2,0
MDT.2,0
MET.2,0
META.2,0
MGM.2,0
MHK.2,0
MKC.2,0
MKTX.2,0
MLM.2,0
MMC.2,0
MMM.2,0
